Rank, Name, Company, Worth
305, Nancy Walton Laurie, None, 5800.0
305, Lin Yu-Ling, None, 5800.0
305, Tom & Judy Love, None, 5800.0
305, Robert Rowling, None, 5800.0
305, Dennis Washington, None, 5800.0
305, Yao Liangsong, None, 5800.0
305, Zhang Jindong, None, 5800.0
315, Juan Francisco Beckmann Vidal, None, 5700.0
315, David Sun, None, 5700.0
315, John Tu, None, 5700.0
315, Martin Viessmann, None, 5700.0
315, Stef Wertheimer, None, 5700.0
315, Hansjoerg Wyss, None, 5700.0
321, James Dyson, None, 5600.0
321, Laurence Graff, None, 5600.0
321, Jen-Hsun Huang, None, 5600.0
321, Charles Johnson, None, 5600.0
321, Jerry Jones, None, 5600.0
321, Kei Hoi Pang, None, 5600.0
321, Kwee family, None, 5600.0
321, Lee Shin Cheng, None, 5600.0
321, Richard LeFrak, None, 5600.0
321, Shigenobu Nagamori, None, 5600.0
321, Steven Rales, None, 5600.0
321, Friede Springer, None, 5600.0
321, Yeung Kin-man, None, 5600.0
334, Rinat Akhmetov, None, 5500.0
334, Shari Arison, None, 5500.0
334, Dannine Avara, None, 5500.0
334, Rahel Blocher, None, 5500.0
334, Andrew Currie, None, 5500.0
334, Scott Duncan, None, 5500.0
334, Milane Frantz, None, 5500.0
334, Diane Hendricks, None, 5500.0
334, Magdalena Martullo-Blocher, None, 5500.0
334, Hiroshi Mikitani, None, 5500.0
334, Gabe Newell, None, 5500.0
334, Pan Sutong, None, 5500.0
334, Anthony Pratt, None, 5500.0
334, John Reece, None, 5500.0
334, Randa Williams, None, 5500.0
334, Zhang Bangxin, None, 5500.0
334, Zhang Shiping, None, 5500.0
351, Jean-Michel Besnier, None, 5400.0
351, Marie Besnier Beauvalot, None, 5400.0
351, Richard DeVos, None, 5400.0
351, Michael Herz, None, 5400.0
351, Wolfgang Herz, None, 5400.0
351, Kjeld Kirk Kristiansen, None, 5400.0
351, Sofie Kirk Kristiansen, None, 5400.0
351, Thomas Kirk Kristiansen, None, 5400.0
351, Lam Wai Ying, None, 5400.0
351, Lin Xiucheng, None, 5400.0
351, Margarita Louis-Dreyfus, None, 5400.0
351, George Roberts, None, 5400.0
351, Edward Roski, Jr., None, 5400.0
351, Agnete Kirk Thinggaard, None, 5400.0
365, Mike Adenuga, None, 5300.0
365, Jim Davis, None, 5300.0
365, David Filo, None, 5300.0
365, Pansy Ho, None, 5300.0
365, Henry Kravis, None, 5300.0
365, Emanuele (Lino) Saputo, None, 5300.0
365, Xu Chuanhua, None, 5300.0
372, Alexander Abramov, None, 5200.0
372, Israel Englander, None, 5200.0
372, Frits Goldschmeding, None, 5200.0
372, Marian Ilitch, None, 5200.0
372, Bruce Kovner, None, 5200.0
372, George Lucas, None, 5200.0
372, Kalanithi Maran, None, 5200.0
372, Elisabeth Mohn, None, 5200.0
372, Robert Rich, Jr., None, 5200.0
372, Wang Chuanfu, None, 5200.0
382, Maria Fernanda Amorim, None, 5100.0
382, Pyotr Aven, None, 5100.0
382, Bernard Marcus, None, 5100.0
382, Pedro Moreira Salles, None, 5100.0
382, Frederick Smith, None, 5100.0
382, Ronda Stryker, None, 5100.0
388, Richard Branson, None, 5000.0
388, Subhash Chandra, None, 5000.0
388, Denise Coates, None, 5000.0
388, Martha Ingram, None, 5000.0
388, Law Kar Po, None, 5000.0
388, Joe Lewis, None, 5000.0
388, Gabriella Meister, None, 5000.0
388, Fernando Roberto Moreira Salles, None, 5000.0
388, Joao Moreira Salles, None, 5000.0
388, Walther Moreira Salles Junior, None, 5000.0
388, Pankaj Patel, None, 5000.0
388, Karen Pritzker, None, 5000.0
388, Thomas Schmidheiny, None, 5000.0
388, Vichai Srivaddhanaprabha, None, 5000.0
388, Keiichiro Takahara, None, 5000.0
388, M.A. Yusuff Ali, None, 5000.0
404, Robert Bass, None, 4900.0
404, Marc Benioff, None, 4900.0
404, Martin & Olivier Bouygues, None, 4900.0
404, Chung Mong-Koo, None, 4900.0
404, Charles Dolan, None, 4900.0
404, Ray Lee Hunt, None, 4900.0
404, Liu Yonghao, None, 4900.0
404, John Overdeck, None, 4900.0
404, Ajay Piramal, None, 4900.0
404, Enrique Razon, Jr., None, 4900.0
404, Sumner Redstone, None, 4900.0
404, Paolo & Gianfelice Mario Rocca, None, 4900.0
404, Reinhold Schmieding, None, 4900.0
404, David Siegel, None, 4900.0
404, Andrei Skoch, None, 4900.0
404, Yu Yong, None, 4900.0
404, Sam Zell, None, 4900.0
404, Zhou Jianping, None, 4900.0
422, Bajaj brothers, None, 4800.0
422, Garrett Camp, None, 4800.0
422, Bubba Cathy, None, 4800.0
422, Dan Cathy, None, 4800.0
422, Fu Liquan, None, 4800.0
422, Philip & Cristina Green, None, 4800.0
422, Mikhail Gutseriev, None, 4800.0
422, Rupert Johnson, Jr., None, 4800.0
422, Travis Kalanick, None, 4800.0
422, Andrei Kozitsyn, None, 4800.0
422, Horst Paulmann, None, 4800.0
422, Julio Ponce Lerou, None, 4800.0
422, Trevor Rees-Jones, None, 4800.0
422, Mark Scheinberg, None, 4800.0
422, Jeffrey Skoll, None, 4800.0
422, Murat Ulker, None, 4800.0
422, Daniel Ziff, None, 4800.0
422, Dirk Ziff, None, 4800.0
422, Robert Ziff, None, 4800.0
441, Juergen Blickle, None, 4700.0
441, Bernard Broermann, None, 4700.0
441, Clive Calder, None, 4700.0
441, Stanley Druckenmiller, None, 4700.0
441, Ted Lerner, None, 4700.0
441, Li Shuirong, None, 4700.0
441, Lim Kok Thay, None, 4700.0
441, Niels Peter Louis-Hansen, None, 4700.0
441, Fredrik Lundberg, None, 4700.0
441, Gwendolyn Sontheim Meyer, None, 4700.0
441, J. Christopher Reyes, None, 4700.0
441, Jude Reyes, None, 4700.0
441, Alexandra Schoerghuber, None, 4700.0
441, Sheldon Solow, None, 4700.0
441, Lucio Tan, None, 4700.0
456, Majid Al Futtaim, None, 4600.0
456, Andrej Babis, None, 4600.0
456, Dona Bertarelli, None, 4600.0
456, Cai Kui, None, 4600.0
456, Bidzina Ivanishvili, None, 4600.0
456, Jeremy Jacobs, Sr., None, 4600.0
456, Chris Larsen, None, 4600.0
456, Patrick Lee, None, 4600.0
456, Liang Wengen, None, 4600.0
456, Denis O'Brien, None, 4600.0
466, Kapil & Rahul Bhatia, None, 4500.0
466, Jean-Pierre Cayard, None, 4500.0
466, Chey Tae-Won, None, 4500.0
466, Fang Wei, None, 4500.0
466, Andrei Guriev, None, 4500.0
466, Bertil Hult, None, 4500.0
466, Ji Changqun, None, 4500.0
466, Paul Tudor Jones, II., None, 4500.0
466, Robert Miller, None, 4500.0
466, Sergei Popov, None, 4500.0
466, Juan Roig, None, 4500.0
466, John Sall, None, 4500.0
466, Leonard Stern, None, 4500.0
466, Ye Chenghai, None, 4500.0
480, Anthony Bamford, None, 4400.0
480, Chu Mang Yee, None, 4400.0
480, Juan Carlos Escotet, None, 4400.0
480, Miguel Fluxa Rossello, None, 4400.0
480, Andrew Forrest, None, 4400.0
480, Paul Gauselmann, None, 4400.0
480, Tamara Gustavson, None, 4400.0
480, Micky Jagtiani, None, 4400.0
480, Johan Johannson, None, 4400.0
480, Richard Li, None, 4400.0
480, John Morris, None, 4400.0
480, Theo Mueller, None, 4400.0
480, Akio Nitori, None, 4400.0
480, Wolfgang Reimann, None, 4400.0
480, Matthias Reimann-Andersen, None, 4400.0
480, Stefan Reimann-Andersen, None, 4400.0
480, Renate Reimann-Haas, None, 4400.0
480, Robert Smith, None, 4400.0
480, Russ Weiner, None, 4400.0
499, Jeronimo Arango, None, 4300.0
499, Rahul Bajaj, None, 4300.0
499, Rainer Blickle, None, 4300.0
499, Rocco Commisso, None, 4300.0
499, Giuseppe De'Longhi, None, 4300.0
499, Tilman Fertitta, None, 4300.0
499, Nathan Kirsh, None, 4300.0
499, Terrence Pegula, None, 4300.0
499, Robert Pera, None, 4300.0
499, Gary Rollins, None, 4300.0
499, Randall Rollins, None, 4300.0
499, Alejandro Santo Domingo, None, 4300.0
499, Andres Santo Domingo, None, 4300.0
499, Pham Nhat Vuong, None, 4300.0
499, Roger Wang, None, 4300.0
514, Stephen Bisciotti, None, 4200.0
514, Austen Cargill, II., None, 4200.0
