Rank, Name, Worth, Source
334, Andrew Currie, 5500.0, chemicals
334, Scott Duncan, 5500.0, pipelines
334, Milane Frantz, 5500.0, pipelines
334, Diane Hendricks, 5500.0, roofing
334, Magdalena Martullo-Blocher, 5500.0, chemicals
334, Hiroshi Mikitani, 5500.0, online retail
334, Gabe Newell, 5500.0, videogames
334, Pan Sutong, 5500.0, real estate, finance
334, Anthony Pratt, 5500.0, manufacturing
334, John Reece, 5500.0, chemicals
334, Randa Williams, 5500.0, pipelines
334, Zhang Bangxin, 5500.0, after-school tutoring
334, Zhang Shiping, 5500.0, aluminum products
351, Jean-Michel Besnier, 5400.0, cheese
351, Marie Besnier Beauvalot, 5400.0, cheese
351, Richard DeVos, 5400.0, Amway
351, Michael Herz, 5400.0, coffee
351, Wolfgang Herz, 5400.0, coffee
351, Kjeld Kirk Kristiansen, 5400.0, Lego
351, Sofie Kirk Kristiansen, 5400.0, Lego
351, Thomas Kirk Kristiansen, 5400.0, Lego
351, Lam Wai Ying, 5400.0, smartphone screens
351, Lin Xiucheng, 5400.0, electronics
351, Margarita Louis-Dreyfus, 5400.0, commodities
351, George Roberts, 5400.0, private equity
351, Edward Roski, Jr., 5400.0, real estate
351, Agnete Kirk Thinggaard, 5400.0, Lego
365, Mike Adenuga, 5300.0, telecom, oil
365, Jim Davis, 5300.0, New Balance
365, David Filo, 5300.0, Yahoo
365, Pansy Ho, 5300.0, casinos
365, Henry Kravis, 5300.0, private equity
365, Emanuele (Lino) Saputo, 5300.0, cheese
365, Xu Chuanhua, 5300.0, chemicals, logistics
372, Alexander Abramov, 5200.0, steel, mining
372, Israel Englander, 5200.0, hedge funds
372, Frits Goldschmeding, 5200.0, temp agency
372, Marian Ilitch, 5200.0, pizza, sports team
372, Bruce Kovner, 5200.0, hedge funds
372, George Lucas, 5200.0, Star Wars
372, Kalanithi Maran, 5200.0, media
372, Elisabeth Mohn, 5200.0, publishing
372, Robert Rich, Jr., 5200.0, frozen foods
372, Wang Chuanfu, 5200.0, batteries, automobiles
382, Maria Fernanda Amorim, 5100.0, energy, investments
382, Pyotr Aven, 5100.0, oil, banking, telecom
382, Bernard Marcus, 5100.0, Home Depot
382, Pedro Moreira Salles, 5100.0, banking, minerals
382, Frederick Smith, 5100.0, FedEx
382, Ronda Stryker, 5100.0, medical equipment
388, Richard Branson, 5000.0, Virgin
388, Subhash Chandra, 5000.0, media
388, Denise Coates, 5000.0, online gambling
388, Martha Ingram, 5000.0, book distribution, transportation
388, Law Kar Po, 5000.0, real estate
388, Joe Lewis, 5000.0, investments
388, Gabriella Meister, 5000.0, appliances
388, Fernando Roberto Moreira Salles, 5000.0, banking, minerals
388, Joao Moreira Salles, 5000.0, banking, minerals
388, Walther Moreira Salles Junior, 5000.0, banking, minerals
388, Pankaj Patel, 5000.0, pharmaceuticals
388, Karen Pritzker, 5000.0, hotels, investments
388, Thomas Schmidheiny, 5000.0, cement
388, Vichai Srivaddhanaprabha, 5000.0, duty-free
388, Keiichiro Takahara, 5000.0, diapers
388, M.A. Yusuff Ali, 5000.0, retail
404, Robert Bass, 4900.0, oil, investments
404, Marc Benioff, 4900.0, business software
404, Martin & Olivier Bouygues, 4900.0, construction, media
404, Chung Mong-Koo, 4900.0, motor vehicles
404, Charles Dolan, 4900.0, cable television
404, Ray Lee Hunt, 4900.0, oil, real estate
404, Liu Yonghao, 4900.0, agribusiness
404, John Overdeck, 4900.0, hedge funds
404, Ajay Piramal, 4900.0, pharmaceuticals
404, Enrique Razon, Jr., 4900.0, ports
404, Sumner Redstone, 4900.0, media
404, Paolo & Gianfelice Mario Rocca, 4900.0, pipe manufacturing
404, Reinhold Schmieding, 4900.0, medical devices
404, David Siegel, 4900.0, hedge funds
404, Andrei Skoch, 4900.0, steel
404, Yu Yong, 4900.0, mining
404, Sam Zell, 4900.0, real estate, private equity
404, Zhou Jianping, 4900.0, fashion retail
422, Bajaj brothers, 4800.0, diversified
422, Garrett Camp, 4800.0, Uber
422, Bubba Cathy, 4800.0, Chick-fil-A
422, Dan Cathy, 4800.0, Chick-fil-A
422, Fu Liquan, 4800.0, surveillance equipment
422, Philip & Cristina Green, 4800.0, fashion retail
422, Mikhail Gutseriev, 4800.0, oil, real estate
422, Rupert Johnson, Jr., 4800.0, money management
422, Travis Kalanick, 4800.0, Uber
422, Andrei Kozitsyn, 4800.0, metals
422, Horst Paulmann, 4800.0, retail
422, Julio Ponce Lerou, 4800.0, fertilizer
422, Trevor Rees-Jones, 4800.0, oil & gas
422, Mark Scheinberg, 4800.0, online gambling
422, Jeffrey Skoll, 4800.0, eBay
422, Murat Ulker, 4800.0, food
422, Daniel Ziff, 4800.0, investments
422, Dirk Ziff, 4800.0, investments
422, Robert Ziff, 4800.0, investments
441, Juergen Blickle, 4700.0, auto parts
441, Bernard Broermann, 4700.0, hospitals
441, Clive Calder, 4700.0, record label
441, Stanley Druckenmiller, 4700.0, hedge funds
